,index,PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANO,MES,D01,V01,D02,V02,D03,V03,D04,V04,D05,V05,D06,V06,D07,V07,D08,V08,D09,V09,D10,V10,D11,V11,D12,V12,D13,V13,D14,V14,D15,V15,D16,V16,D17,V17,D18,V18,D19,V19,D20,V20,D21,V21,D22,V22,D23,V23,D24,V24,D25,V25,D26,V26,D27,V27,D28,V28,D29,V29,D30,V30,D31,V31,total
0,12,28,79,4,6,28079004_6_48,2010,1,0.3,V,0.4,V,0.6,V,0.6,V,0.5,V,0.4,V,0.4,V,0.3,V,0.3,V,0.5,V,0.5,V,0.6,V,0.6,V,0.3,V,0.6,V,0.5,V,0.6,V,0.5,V,0.4,V,0.3,V,0.7,V,1.0,V,0.5,V,0.4,V,0.3,V,0.4,V,0.4,V,0.6,V,0.7,V,0.3,V,0.3,V,0.4774193548387096
1,13,28,79,4,6,28079004_6_48,2010,2,0.5,V,0.6,V,0.7,V,0.6,V,0.3,V,0.4,V,0.6,V,0.4,V,0.4,V,0.5,V,0.4,V,0.5,V,0.4,V,0.5,V,0.5,V,0.7,V,0.4,V,0.5,V,0.4,V,0.4,V,0.6,V,0.4,V,0.4,V,0.3,V,0.3,V,0.4,V,0.4,V,0.4,V,0.0,N,0.0,N,0.0,N,0.49642857142857155
2,14,28,79,4,6,28079004_6_48,2010,3,0.3,V,0.4,V,0.3,V,0.5,V,0.0,N,0.0,N,0.0,N,0.0,N,0.4,V,0.5,V,0.5,V,0.5,V,0.5,V,0.4,V,0.6,V,0.6,V,0.5,V,0.6,V,0.6,V,0.6,V,0.4,V,0.5,V,0.5,V,0.3,V,0.3,V,0.3,V,0.3,V,0.5,V,0.4,V,0.3,V,0.3,V,0.514814814814815
3,15,28,79,4,6,28079004_6_48,2010,4,0.3,V,0.3,V,0.3,V,0.3,V,0.4,V,0.4,V,0.3,V,0.4,V,0.4,V,0.4,V,0.4,V,0.3,V,0.4,V,0.4,V,0.4,V,0.4,V,0.4,V,0.4,V,0.4,V,0.5,V,0.5,V,0.3,V,0.5,V,0.4,V,0.5,V,0.4,V,0.5,V,0.4,V,0.3,V,0.4,V,0.0,N,0.4900000000000002
4,16,28,79,4,6,28079004_6_48,2010,5,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.4,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.4,V,0.4,V,0.4,V,0.3,V,0.5,V,0.5,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.4,V,0.4,V,0.4612903225806454
5,17,28,79,4,6,28079004_6_48,2010,6,0.4,V,0.3,V,0.3,V,0.4,V,0.4,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.4,V,0.3,V,0.3,V,0.4,V,0.4,V,0.3,V,0.2,V,0.3,V,0.4,V,0.4,V,0.4,V,0.3,V,0.3,V,0.3,V,0.3,V,0.4,V,0.5,V,0.0,N,0.5033333333333336
6,18,28,79,4,6,28079004_6_48,2010,7,0.4,V,0.5,V,0.3,V,0.4,V,0.3,V,0.4,V,0.4,V,0.4,V,0.3,V,0.4,V,0.4,V,0.4,V,0.3,V,0.3,V,0.4,V,0.5,V,0.4,V,0.3,V,0.4,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.2,V,0.3,V,0.3,V,0.5,V,0.5,V,0.3,V,0.3,V,0.5516129032258068
7,19,28,79,4,6,28079004_6_48,2010,8,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.4,V,0.3,V,0.4,V,0.3,V,0.4,V,0.4,V,0.4,V,0.2,V,0.3,V,0.3,V,0.2,V,0.3,V,0.4,V,0.4,V,0.4,V,0.4,V,0.3,V,0.2,V,0.3,V,0.5,V,0.5,V,0.3,V,0.3,V,0.3,V,0.4,V,0.4,V,0.5645161290322582
8,20,28,79,4,6,28079004_6_48,2010,9,0.3,V,0.4,V,0.4,V,0.5,V,0.5,V,0.4,V,0.3,V,0.3,V,0.4,V,0.5,V,0.7,V,0.7,V,0.4,V,0.5,V,0.6,V,0.0,N,0.3,V,0.3,V,0.4,V,0.4,V,0.4,V,0.5,V,0.5,V,0.3,V,0.3,V,0.3,V,0.4,V,0.6,V,0.5,V,0.6,V,0.0,N,0.7137931034482761
9,21,28,79,4,6,28079004_6_48,2010,10,0.6,V,0.5,V,0.4,V,0.3,V,0.6,V,0.6,V,0.4,V,0.5,V,0.4,V,0.3,V,0.4,V,0.3,V,0.5,V,0.5,V,0.5,V,0.4,V,0.4,V,0.5,V,0.7,V,1.0,V,0.8,V,0.8,V,0.8,V,0.5,V,0.3,V,0.6,V,0.8,V,1.0,V,0.6,V,0.3,V,0.3,V,0.8258064516129034
10,22,28,79,4,6,28079004_6_48,2010,11,0.3,V,0.6,V,1.0,V,0.8,V,0.9,V,0.6,V,0.4,V,0.3,V,0.2,V,0.4,V,0.4,V,0.7,V,0.6,V,0.4,V,0.4,V,0.5,V,0.4,V,0.5,V,0.6,V,0.3,V,0.3,V,0.4,V,0.6,V,0.7,V,0.7,V,0.5,V,0.5,V,0.7,V,0.5,V,0.5,V,0.0,N,0.8566666666666667
11,23,28,79,4,6,28079004_6_48,2010,12,0.3,V,0.4,V,0.5,V,0.7,V,0.6,V,0.4,V,0.4,V,0.3,V,0.6,V,0.6,V,0.7,V,0.9,V,1.1,V,0.6,V,0.4,V,0.5,V,0.8,V,0.9,V,0.4,V,0.5,V,0.6,V,0.4,V,0.5,V,0.4,V,0.5,V,0.6,V,0.8,V,0.0,N,0.8,V,0.8,V,0.5,V,0.95
12,72,28,79,8,6,28079008_6_48,2010,1,0.3,V,0.4,V,0.5,V,0.5,V,0.5,V,0.4,V,0.4,V,0.4,V,0.4,V,0.4,V,0.5,V,0.6,V,0.5,V,0.4,V,0.5,V,0.4,V,0.5,V,0.5,V,0.5,V,0.4,V,0.6,V,0.8,V,0.5,V,0.4,V,0.4,V,0.4,V,0.4,V,0.6,V,0.7,V,0.4,V,0.3,V,0.8548387096774193
