,PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANO,MES,D01,V01,D02,V02,D03,V03,D04,V04,D05,V05,D06,V06,D07,V07,D08,V08,D09,V09,D10,V10,D11,V11,D12,V12,D13,V13,D14,V14,D15,V15,D16,V16,D17,V17,D18,V18,D19,V19,D20,V20,D21,V21,D22,V22,D23,V23,D24,V24,D25,V25,D26,V26,D27,V27,D28,V28,D29,V29,D30,V30,D31,V31,total
12,28,79,4,6,28079004_6_48,2020,1,0.7,V,0.7,V,0.8,V,0.4,V,0.5,V,0.5,V,0.8,V,0.9,V,0.6,V,0.3,V,0.4,V,0.5,V,0.5,V,0.5,V,0.5,V,0.4,V,0.2,V,0.3,V,0.2,V,0.1,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.1,N,0.1,V,0.45454545454545453
13,28,79,4,6,28079004_6_48,2020,2,0.1,V,0.1,V,0.3,V,0.4,V,0.3,V,0.4,V,0.4,V,0.4,V,0.2,V,0.3,V,0.4,V,0.3,V,0.2,V,0.3,V,0.3,V,0.3,V,0.2,V,0.2,V,0.3,V,0.4,V,0.4,V,0.4,V,0.3,V,0.4,V,0.3,V,0.1,V,0.1,V,0.2,V,0.6,N,0.0,N,0.0,N,0.3310344827586207
14,28,79,4,6,28079004_6_48,2020,3,0.0,N,0.1,N,0.1,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,1.1
15,28,79,4,6,28079004_6_48,2020,4,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.1,N,0.1,V,0.0,N,1.6
16,28,79,4,6,28079004_6_48,2020,5,0.1,V,0.1,V,0.1,V,0.2,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,N,0.0,N,0.0,N,0.0,N,0.2,N,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.2499999999999997
17,28,79,4,6,28079004_6_48,2020,6,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,N,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.0,N,0.26666666666666633
18,28,79,4,6,28079004_6_48,2020,7,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.2,V,0.1,V,0.1,V,0.1,V,0.1,V,0.29677419354838674
19,28,79,4,6,28079004_6_48,2020,8,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.2,V,0.2,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.33225806451612866
20,28,79,4,6,28079004_6_48,2020,9,0.2,V,0.1,V,0.2,V,0.2,V,0.2,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.2,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.2,V,0.1,N,0.1,V,0.1,V,0.1,V,0.1,V,0.2,V,0.3,V,0.2,V,0.0,N,0.3999999999999996
21,28,79,4,6,28079004_6_48,2020,10,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.2,V,0.3,V,0.3,V,0.2,V,0.1,V,0.1,V,0.1,N,0.2,V,0.2,V,0.3,V,0.3,V,0.4,V,0.4,V,0.4,V,0.3,V,0.2,V,0.2,V,0.3,V,0.4,V,0.2,V,0.3,V,0.3,V,0.5,V,0.4,V,0.6,V,0.6,V,0.5580645161290323
