,index,PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANO,MES,D01,V01,D02,V02,D03,V03,D04,V04,D05,V05,D06,V06,D07,V07,D08,V08,D09,V09,D10,V10,D11,V11,D12,V12,D13,V13,D14,V14,D15,V15,D16,V16,D17,V17,D18,V18,D19,V19,D20,V20,D21,V21,D22,V22,D23,V23,D24,V24,D25,V25,D26,V26,D27,V27,D28,V28,D29,V29,D30,V30,D31,V31,total
0,24,28,79,4,7,28079004_7_8,2010,1,4.0,V,20.0,V,50.0,V,39.0,V,25.0,V,5.0,V,12.0,V,15.0,V,10.0,V,24.0,V,39.0,V,72.0,V,62.0,V,15.0,V,85.0,V,50.0,V,61.0,V,54.0,V,30.0,V,10.0,V,114.0,V,174.0,V,49.0,V,21.0,V,12.0,V,23.0,V,24.0,V,83.0,V,121.0,V,11.0,V,10.0,V,42.70967741935484
1,25,28,79,4,7,28079004_7_8,2010,2,40.0,V,108.0,V,119.0,V,80.0,V,10.0,V,8.0,V,13.0,V,2.0,V,4.0,V,10.0,V,13.0,V,36.0,V,17.0,V,41.0,V,28.0,V,66.0,V,16.0,V,38.0,V,29.0,V,18.0,V,39.0,V,18.0,V,21.0,V,10.0,V,16.0,V,27.0,V,37.0,V,16.0,V,0.0,N,0.0,N,0.0,N,31.464285714285715
2,26,28,79,4,7,28079004_7_8,2010,3,11.0,V,24.0,V,15.0,V,46.0,V,0.0,N,0.0,N,0.0,N,0.0,N,27.0,V,29.0,V,34.0,V,31.0,V,46.0,V,18.0,V,84.0,V,78.0,V,54.0,V,60.0,V,69.0,V,62.0,V,28.0,V,52.0,V,63.0,V,19.0,V,11.0,V,11.0,V,9.0,V,38.0,V,26.0,V,8.0,V,9.0,V,35.7037037037037
3,27,28,79,4,7,28079004_7_8,2010,4,8.0,V,14.0,V,9.0,V,14.0,V,24.0,V,35.0,V,11.0,V,22.0,V,17.0,V,20.0,V,16.0,V,11.0,V,14.0,V,20.0,V,24.0,V,24.0,V,19.0,V,17.0,V,15.0,V,52.0,V,42.0,V,13.0,V,40.0,V,42.0,V,56.0,V,44.0,V,49.0,V,30.0,V,15.0,V,32.0,V,0.0,N,25.066666666666666
4,28,28,79,4,7,28079004_7_8,2010,5,11.0,V,11.0,V,9.0,V,9.0,V,13.0,V,23.0,V,21.0,V,10.0,V,11.0,V,10.0,V,27.0,V,11.0,V,15.0,V,24.0,V,26.0,V,15.0,V,27.0,V,31.0,V,25.0,V,20.0,V,52.0,V,41.0,V,17.0,V,12.0,V,8.0,V,9.0,V,25.0,V,13.0,V,22.0,V,29.0,V,30.0,V,19.70967741935484
5,29,28,79,4,7,28079004_7_8,2010,6,33.0,V,17.0,V,20.0,V,17.0,V,33.0,V,11.0,V,11.0,V,9.0,V,17.0,V,11.0,V,9.0,V,14.0,V,9.0,V,22.0,V,12.0,V,19.0,V,30.0,V,34.0,V,11.0,V,7.0,V,13.0,V,27.0,V,39.0,V,24.0,V,18.0,V,13.0,V,10.0,V,14.0,V,26.0,V,39.0,V,0.0,N,19.133333333333333
6,30,28,79,4,7,28079004_7_8,2010,7,21.0,V,38.0,V,11.0,V,30.0,V,14.0,V,17.0,V,26.0,V,26.0,V,10.0,V,20.0,V,21.0,V,18.0,V,24.0,V,9.0,V,20.0,V,38.0,V,29.0,V,8.0,V,32.0,V,14.0,V,14.0,V,10.0,V,11.0,V,8.0,V,8.0,V,11.0,V,15.0,V,31.0,V,35.0,V,19.0,V,19.0,V,19.774193548387096
7,31,28,79,4,7,28079004_7_8,2010,8,8.0,V,16.0,V,8.0,V,11.0,V,9.0,V,24.0,V,20.0,V,21.0,V,16.0,V,20.0,V,21.0,V,33.0,V,6.0,V,8.0,V,6.0,V,7.0,V,11.0,V,13.0,V,16.0,V,32.0,V,23.0,V,11.0,V,8.0,V,10.0,V,43.0,V,41.0,V,14.0,V,12.0,V,8.0,V,24.0,V,26.0,V,17.193548387096776
8,32,28,79,4,7,28079004_7_8,2010,9,12.0,V,23.0,V,16.0,V,36.0,V,48.0,V,45.0,V,8.0,V,18.0,V,24.0,V,40.0,V,84.0,V,84.0,V,18.0,V,43.0,V,74.0,V,0.0,N,23.0,V,14.0,V,30.0,V,28.0,V,48.0,V,60.0,V,54.0,V,19.0,V,10.0,V,16.0,V,40.0,V,62.0,V,47.0,V,60.0,V,0.0,N,37.6551724137931
9,33,28,79,4,7,28079004_7_8,2010,10,66.0,V,62.0,V,24.0,V,15.0,V,71.0,V,87.0,V,24.0,V,38.0,V,23.0,V,10.0,V,35.0,V,11.0,V,56.0,V,70.0,V,50.0,V,42.0,V,20.0,V,62.0,V,104.0,V,183.0,V,142.0,V,132.0,V,109.0,V,64.0,V,10.0,V,89.0,V,149.0,V,181.0,V,102.0,V,11.0,V,11.0,V,66.51612903225806
10,34,28,79,4,7,28079004_7_8,2010,11,11.0,V,78.0,V,176.0,V,140.0,V,157.0,V,80.0,V,30.0,V,10.0,V,7.0,V,18.0,V,25.0,V,118.0,V,74.0,V,27.0,V,19.0,V,66.0,V,21.0,V,55.0,V,89.0,V,20.0,V,14.0,V,25.0,V,98.0,V,92.0,V,114.0,V,58.0,V,58.0,V,100.0,V,47.0,V,49.0,V,0.0,N,62.86666666666667
11,35,28,79,4,7,28079004_7_8,2010,12,16.0,V,36.0,V,50.0,V,64.0,V,54.0,V,38.0,V,28.0,V,17.0,V,78.0,V,85.0,V,105.0,V,134.0,V,201.0,V,78.0,V,25.0,V,73.0,V,160.0,V,143.0,V,28.0,V,51.0,V,75.0,V,43.0,V,29.0,V,23.0,V,31.0,V,73.0,V,152.0,V,0.0,N,159.0,V,140.0,V,53.0,V,75.1
