,index,PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANO,MES,D01,V01,D02,V02,D03,V03,D04,V04,D05,V05,D06,V06,D07,V07,D08,V08,D09,V09,D10,V10,D11,V11,D12,V12,D13,V13,D14,V14,D15,V15,D16,V16,D17,V17,D18,V18,D19,V19,D20,V20,D21,V21,D22,V22,D23,V23,D24,V24,D25,V25,D26,V26,D27,V27,D28,V28,D29,V29,D30,V30,D31,V31,total
0,36,28,79,4,8,28079004_8_8,2010,1,12.0,V,40.0,V,51.0,V,53.0,V,46.0,V,30.0,V,31.0,V,30.0,V,26.0,V,47.0,V,60.0,V,61.0,V,58.0,V,26.0,V,70.0,V,52.0,V,40.0,V,43.0,V,43.0,V,31.0,V,73.0,V,77.0,V,54.0,V,36.0,V,23.0,V,30.0,V,37.0,V,70.0,V,69.0,V,29.0,V,27.0,V,44.354838709677416
1,37,28,79,4,8,28079004_8_8,2010,2,46.0,V,76.0,V,84.0,V,64.0,V,25.0,V,33.0,V,49.0,V,36.0,V,38.0,V,55.0,V,53.0,V,61.0,V,35.0,V,56.0,V,57.0,V,71.0,V,40.0,V,61.0,V,63.0,V,43.0,V,63.0,V,50.0,V,48.0,V,30.0,V,43.0,V,52.0,V,51.0,V,33.0,V,0.0,N,0.0,N,0.0,N,50.607142857142854
2,38,28,79,4,8,28079004_8_8,2010,3,35.0,V,52.0,V,46.0,V,53.0,V,0.0,N,0.0,N,0.0,N,0.0,N,51.0,V,56.0,V,57.0,V,52.0,V,57.0,V,37.0,V,83.0,V,76.0,V,71.0,V,76.0,V,62.0,V,53.0,V,44.0,V,51.0,V,62.0,V,41.0,V,36.0,V,30.0,V,29.0,V,53.0,V,45.0,V,25.0,V,26.0,V,50.407407407407405
3,39,28,79,4,8,28079004_8_8,2010,4,26.0,V,38.0,V,28.0,V,33.0,V,48.0,V,52.0,V,37.0,V,45.0,V,43.0,V,50.0,V,49.0,V,34.0,V,40.0,V,45.0,V,60.0,V,58.0,V,54.0,V,46.0,V,45.0,V,60.0,V,62.0,V,37.0,V,62.0,V,48.0,V,62.0,V,60.0,V,70.0,V,57.0,V,46.0,V,53.0,V,0.0,N,48.36666666666667
4,40,28,79,4,8,28079004_8_8,2010,5,29.0,V,31.0,V,22.0,V,21.0,V,34.0,V,46.0,V,49.0,V,27.0,V,26.0,V,29.0,V,42.0,V,27.0,V,35.0,V,41.0,V,44.0,V,32.0,V,46.0,V,63.0,V,38.0,V,43.0,V,71.0,V,65.0,V,47.0,V,41.0,V,31.0,V,33.0,V,48.0,V,38.0,V,47.0,V,49.0,V,51.0,V,40.32258064516129
5,41,28,79,4,8,28079004_8_8,2010,6,56.0,V,45.0,V,49.0,V,59.0,V,61.0,V,36.0,V,34.0,V,31.0,V,40.0,V,28.0,V,26.0,V,39.0,V,27.0,V,43.0,V,27.0,V,42.0,V,63.0,V,68.0,V,42.0,V,19.0,V,42.0,V,59.0,V,67.0,V,66.0,V,60.0,V,48.0,V,47.0,V,67.0,V,100.0,V,86.0,V,0.0,N,49.4
6,42,28,79,4,8,28079004_8_8,2010,7,72.0,V,85.0,V,39.0,V,54.0,V,42.0,V,49.0,V,65.0,V,67.0,V,47.0,V,50.0,V,49.0,V,51.0,V,48.0,V,34.0,V,50.0,V,67.0,V,55.0,V,30.0,V,65.0,V,50.0,V,39.0,V,32.0,V,31.0,V,26.0,V,20.0,V,29.0,V,44.0,V,75.0,V,62.0,V,45.0,V,46.0,V,49.16129032258065
7,43,28,79,4,8,28079004_8_8,2010,8,37.0,V,45.0,V,24.0,V,32.0,V,26.0,V,44.0,V,42.0,V,49.0,V,44.0,V,55.0,V,65.0,V,50.0,V,15.0,V,22.0,V,20.0,V,21.0,V,37.0,V,40.0,V,46.0,V,54.0,V,52.0,V,32.0,V,27.0,V,30.0,V,61.0,V,58.0,V,42.0,V,35.0,V,27.0,V,49.0,V,45.0,V,39.774193548387096
8,44,28,79,4,8,28079004_8_8,2010,9,36.0,V,51.0,V,51.0,V,65.0,V,68.0,V,56.0,V,19.0,V,39.0,V,51.0,V,63.0,V,77.0,V,66.0,V,45.0,V,71.0,V,79.0,V,0.0,N,43.0,V,33.0,V,40.0,V,53.0,V,55.0,V,62.0,V,54.0,V,41.0,V,25.0,V,31.0,V,53.0,V,64.0,V,56.0,V,66.0,V,0.0,N,52.44827586206897
9,45,28,79,4,8,28079004_8_8,2010,10,72.0,V,65.0,V,41.0,V,32.0,V,58.0,V,70.0,V,51.0,V,57.0,V,46.0,V,28.0,V,46.0,V,29.0,V,54.0,V,63.0,V,62.0,V,48.0,V,29.0,V,57.0,V,80.0,V,100.0,V,92.0,V,92.0,V,80.0,V,57.0,V,29.0,V,69.0,V,91.0,V,104.0,V,67.0,V,31.0,V,25.0,V,59.16129032258065
