,PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANO,MES,D01,V01,D02,V02,D03,V03,D04,V04,D05,V05,D06,V06,D07,V07,D08,V08,D09,V09,D10,V10,D11,V11,D12,V12,D13,V13,D14,V14,D15,V15,D16,V16,D17,V17,D18,V18,D19,V19,D20,V20,D21,V21,D22,V22,D23,V23,D24,V24,D25,V25,D26,V26,D27,V27,D28,V28,D29,V29,D30,V30,D31,V31,total
24,28,79,4,7,28079004_7_8,2020,1,80.0,V,116.0,V,131.0,V,41.0,V,53.0,V,64.0,V,136.0,V,156.0,V,99.0,V,40.0,V,38.0,V,56.0,V,77.0,V,84.0,V,72.0,V,49.0,V,16.0,V,20.0,V,6.0,V,16.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,5.0,N,7.0,V,61.90909090909091
25,28,79,4,7,28079004_7_8,2020,2,3.0,V,7.0,V,45.0,V,71.0,V,33.0,V,44.0,V,54.0,V,42.0,V,20.0,V,36.0,V,61.0,V,39.0,V,12.0,V,32.0,V,36.0,V,24.0,V,27.0,V,20.0,V,40.0,V,55.0,V,54.0,V,42.0,V,28.0,V,47.0,V,53.0,V,10.0,V,8.0,V,32.0,V,61.0,N,0.0,N,0.0,N,35.758620689655174
26,28,79,4,7,28079004_7_8,2020,3,0.0,N,14.0,N,5.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,10.5
27,28,79,4,7,28079004_7_8,2020,4,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,3.0,N,8.0,V,0.0,N,7.0
28,28,79,4,7,28079004_7_8,2020,5,1.0,V,2.0,V,3.0,V,24.0,V,6.0,V,15.0,V,8.0,V,9.0,V,3.0,V,1.0,V,4.0,V,7.0,V,5.0,V,3.0,N,0.0,N,0.0,N,0.0,N,53.0,N,117.0,N,13.0,V,13.0,V,11.0,V,14.0,V,1.0,V,10.0,V,13.0,V,8.0,V,6.0,V,6.0,V,5.0,V,1.0,V,13.071428571428571
29,28,79,4,7,28079004_7_8,2020,6,7.0,V,13.0,V,6.0,V,40.0,V,1.0,N,2.0,V,1.0,V,12.0,V,11.0,V,11.0,V,3.0,V,3.0,V,2.0,V,1.0,V,4.0,V,26.0,V,11.0,V,6.0,V,6.0,V,3.0,V,2.0,V,9.0,V,10.0,V,11.0,V,7.0,V,8.0,V,5.0,V,1.0,V,10.0,V,8.0,V,0.0,N,8.166666666666666
30,28,79,4,7,28079004_7_8,2020,7,4.0,V,9.0,V,7.0,V,6.0,V,1.0,V,9.0,V,9.0,V,13.0,V,7.0,V,7.0,V,5.0,V,2.0,V,6.0,V,12.0,V,10.0,V,8.0,V,7.0,V,4.0,V,2.0,V,13.0,V,10.0,V,7.0,V,10.0,V,8.0,V,2.0,V,2.0,V,11.0,V,10.0,V,6.0,V,5.0,V,9.0,V,7.32258064516129
31,28,79,4,7,28079004_7_8,2020,8,6.0,V,2.0,V,6.0,V,7.0,V,7.0,V,6.0,V,7.0,V,8.0,V,2.0,V,13.0,V,8.0,V,9.0,V,6.0,V,6.0,V,1.0,V,2.0,V,7.0,V,9.0,V,10.0,V,14.0,V,7.0,V,3.0,V,2.0,V,5.0,V,11.0,V,11.0,V,14.0,V,7.0,V,4.0,V,1.0,V,5.0,V,6.870967741935484
32,28,79,4,7,28079004_7_8,2020,9,18.0,V,7.0,V,18.0,V,9.0,V,7.0,V,2.0,V,8.0,V,4.0,V,14.0,V,6.0,V,7.0,V,4.0,V,1.0,V,6.0,V,9.0,V,18.0,V,11.0,V,9.0,V,2.0,V,2.0,V,15.0,V,24.0,V,4.0,N,4.0,V,4.0,V,4.0,V,2.0,V,27.0,V,35.0,V,37.0,V,0.0,N,10.866666666666667
33,28,79,4,7,28079004_7_8,2020,10,16.0,V,6.0,V,1.0,V,1.0,V,11.0,V,35.0,V,43.0,V,46.0,V,41.0,V,6.0,V,1.0,V,3.0,N,47.0,V,13.0,V,34.0,V,24.0,V,14.0,V,10.0,V,32.0,V,15.0,V,8.0,V,7.0,V,12.0,V,14.0,V,2.0,V,12.0,V,16.0,V,43.0,V,27.0,V,50.0,V,35.0,V,20.451612903225808
34,28,79,4,7,28079004_7_8,2020,11,28.0,V,16.0,V,35.0,V,7.0,V,11.0,V,13.0,V,3.0,V,13.0,V,15.0,V,48.0,V,47.0,V,58.0,V,50.0,V,23.0,V,5.0,V,51.0,V,58.0,V,41.0,V,47.0,V,44.0,V,74.0,N,25.0,V,76.0,V,89.0,V,46.0,V,21.0,N,0.0,N,56.0,N,15.0,V,59.0,V,0.0,N,37.37931034482759
35,28,79,4,7,28079004_7_8,2020,12,77.0,V,29.0,V,36.0,V,11.0,N,66.0,N,2.0,V,5.0,V,5.0,V,22.0,V,13.0,V,7.0,V,2.0,V,11.0,V,36.0,V,16.0,N,29.0,V,70.0,V,59.0,V,5.0,V,11.0,V,34.0,V,51.0,V,51.0,V,9.0,V,2.0,V,22.0,V,14.0,V,3.0,N,9.0,V,17.0,V,13.0,V,24.129032258064516
84,28,79,8,7,28079008_7_8,2020,1,60.0,V,65.0,V,133.0,V,9.0,V,24.0,V,40.0,V,93.0,V,142.0,V,72.0,V,19.0,V,22.0,V,48.0,V,81.0,V,62.0,V,46.0,V,31.0,V,20.0,V,18.0,V,5.0,V,11.0,V,14.0,V,20.0,V,24.0,V,16.0,V,8.0,V,12.0,V,27.0,V,17.0,V,16.0,V,16.0,V,15.0,V,38.645161290322584
85,28,79,8,7,28079008_7_8,2020,2,10.0,V,9.0,V,54.0,V,86.0,V,23.0,V,32.0,V,33.0,V,27.0,V,12.0,V,35.0,V,62.0,V,44.0,V,27.0,V,34.0,V,37.0,V,43.0,V,24.0,V,17.0,V,30.0,V,65.0,V,49.0,V,35.0,V,18.0,V,33.0,V,56.0,V,6.0,V,11.0,V,34.0,V,18.0,V,0.0,N,0.0,N,33.689655172413794
86,28,79,8,7,28079008_7_8,2020,3,4.0,V,5.0,V,12.0,V,13.0,V,8.0,V,5.0,V,6.0,V,8.0,V,9.0,V,36.0,V,44.0,V,31.0,V,19.0,V,2.0,V,1.0,V,3.0,V,4.0,V,5.0,V,2.0,V,2.0,V,1.0,V,1.0,V,3.0,V,2.0,V,2.0,V,4.0,V,2.0,V,1.0,V,2.0,V,2.0,V,3.0,V,8.258064516129032
87,28,79,8,7,28079008_7_8,2020,4,2.0,V,2.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,2.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,2.0,V,1.0,V,1.0,V,2.0,V,1.0,V,1.0,V,6.0,V,2.0,V,2.0,V,2.0,V,2.0,V,1.0,V,1.0,V,1.0,V,2.0,V,3.0,V,2.0,V,0.0,N,2.1
88,28,79,8,7,28079008_7_8,2020,5,1.0,V,1.0,V,1.0,V,2.0,V,2.0,V,2.0,V,2.0,V,1.0,V,1.0,V,1.0,V,2.0,V,2.0,V,2.0,V,2.0,V,1.0,V,1.0,V,1.0,V,2.0,V,2.0,V,2.0,V,3.0,V,2.0,V,1.0,V,1.0,V,2.0,V,2.0,V,2.0,V,1.0,V,1.0,V,2.0,V,1.0,V,2.096774193548387
89,28,79,8,7,28079008_7_8,2020,6,3.0,V,5.0,V,4.0,V,3.0,V,3.0,V,3.0,V,2.0,V,3.0,V,4.0,V,4.0,V,5.0,V,6.0,V,2.0,V,2.0,V,5.0,V,5.0,V,4.0,V,4.0,V,4.0,V,3.0,V,3.0,V,8.0,V,6.0,V,5.0,V,4.0,V,6.0,V,3.0,V,2.0,V,5.0,V,6.0,V,0.0,N,4.633333333333334
90,28,79,8,7,28079008_7_8,2020,7,6.0,V,8.0,V,3.0,V,2.0,V,2.0,V,5.0,V,5.0,V,6.0,V,4.0,V,4.0,V,3.0,V,2.0,V,4.0,V,3.0,V,4.0,V,4.0,V,4.0,V,4.0,V,3.0,V,8.0,V,7.0,V,6.0,V,6.0,V,5.0,V,2.0,V,4.0,V,6.0,V,7.0,V,5.0,V,5.0,V,6.0,V,5.193548387096774
91,28,79,8,7,28079008_7_8,2020,8,3.0,V,2.0,V,4.0,V,3.0,V,5.0,V,6.0,V,4.0,V,8.0,V,3.0,V,7.0,V,5.0,V,5.0,V,8.0,V,5.0,V,3.0,V,3.0,V,6.0,V,11.0,V,11.0,V,13.0,V,8.0,V,3.0,V,1.0,V,5.0,V,7.0,V,10.0,V,8.0,V,5.0,V,2.0,V,1.0,V,5.0,V,6.096774193548387
92,28,79,8,7,28079008_7_8,2020,9,17.0,V,8.0,V,18.0,V,15.0,V,6.0,V,2.0,V,4.0,V,5.0,V,3.0,V,5.0,V,3.0,V,10.0,V,3.0,V,3.0,V,8.0,V,9.0,V,12.0,V,9.0,V,4.0,V,4.0,V,16.0,V,11.0,V,9.0,V,11.0,V,5.0,V,5.0,V,2.0,V,21.0,V,19.0,V,15.0,V,0.0,N,9.4
93,28,79,8,7,28079008_7_8,2020,10,8.0,V,7.0,V,4.0,V,4.0,V,5.0,V,32.0,V,45.0,V,48.0,V,26.0,V,3.0,V,2.0,V,2.0,V,29.0,V,7.0,V,15.0,V,13.0,V,14.0,V,15.0,V,15.0,V,22.0,V,7.0,V,9.0,V,13.0,V,11.0,V,4.0,V,10.0,V,14.0,V,20.0,V,33.0,V,38.0,V,25.0,V,16.806451612903224
94,28,79,8,7,28079008_7_8,2020,11,20.0,V,16.0,V,22.0,V,11.0,V,17.0,V,12.0,V,6.0,V,7.0,V,16.0,V,23.0,V,39.0,V,26.0,V,30.0,V,18.0,V,8.0,V,47.0,V,51.0,V,65.0,V,63.0,V,18.0,V,15.0,V,21.0,V,49.0,V,43.0,V,40.0,V,24.0,V,18.0,V,15.0,V,9.0,V,41.0,V,0.0,N,27.066666666666666
95,28,79,8,7,28079008_7_8,2020,12,31.0,V,10.0,V,26.0,V,15.0,V,9.0,V,7.0,V,6.0,V,5.0,V,14.0,V,15.0,V,13.0,V,7.0,V,9.0,V,23.0,V,14.0,V,24.0,V,29.0,V,41.0,V,9.0,V,16.0,V,32.0,V,64.0,V,52.0,V,10.0,V,3.0,V,24.0,V,28.0,V,11.0,V,15.0,V,3.0,N,0.0,N,19.6
