,PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANO,MES,D01,V01,D02,V02,D03,V03,D04,V04,D05,V05,D06,V06,D07,V07,D08,V08,D09,V09,D10,V10,D11,V11,D12,V12,D13,V13,D14,V14,D15,V15,D16,V16,D17,V17,D18,V18,D19,V19,D20,V20,D21,V21,D22,V22,D23,V23,D24,V24,D25,V25,D26,V26,D27,V27,D28,V28,D29,V29,D30,V30,D31,V31,total
98,28,79,8,9,28079008_9_47,2021,1,3.0,V,4.0,V,5.0,V,5.0,V,12.0,V,8.0,V,7.0,V,6.0,V,4.0,V,6.0,V,9.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,17.0,N,17.0,V,16.0,V,3.0,N,3.0,V,3.0,V,3.0,V,3.0,V,5.0,V,9.0,V,8.0,V,7.0,V,3.0,V,4.0,V,6.8
99,28,79,8,9,28079008_9_47,2021,2,4.0,V,4.0,V,5.0,V,8.0,V,12.0,V,7.0,V,3.0,V,2.0,V,2.0,V,4.0,V,6.0,V,5.0,V,6.0,V,7.0,V,7.0,V,12.0,V,13.0,V,23.0,V,21.0,V,13.0,V,17.0,V,2.0,V,5.0,V,12.0,V,13.0,V,13.0,V,11.0,V,11.0,V,0.0,N,0.0,N,0.0,N,8.892857142857142
100,28,79,8,9,28079008_9_47,2021,3,13.0,V,12.0,V,21.0,V,24.0,V,21.0,V,15.0,V,10.0,V,9.0,V,7.0,V,10.0,V,9.0,V,6.0,V,6.0,V,5.0,V,5.0,V,4.0,V,2.0,V,4.0,V,3.0,V,2.0,V,4.0,V,8.0,V,7.0,V,8.0,V,11.0,V,10.0,V,11.0,V,10.0,V,7.0,V,8.0,V,8.0,V,9.096774193548388
101,28,79,8,9,28079008_9_47,2021,4,8.0,V,11.0,V,10.0,V,10.0,V,8.0,V,8.0,V,4.0,V,6.0,V,8.0,V,10.0,V,6.0,V,4.0,V,7.0,V,9.0,V,9.0,V,7.0,N,7.0,V,7.0,V,8.0,V,10.0,V,6.0,V,9.0,V,5.0,V,8.0,V,7.0,V,14.0,V,13.0,N,6.0,N,8.0,V,7.0,V,0.0,N,8.1
102,28,79,8,9,28079008_9_47,2021,5,7.0,V,5.0,V,8.0,V,9.0,V,11.0,N,9.0,V,9.0,V,10.0,V,11.0,V,4.0,V,3.0,V,4.0,V,7.0,V,6.0,V,12.0,N,27.0,N,4.0,V,6.0,V,4.0,V,5.0,N,5.0,N,3.0,V,5.0,V,4.0,V,5.0,V,9.0,V,9.0,V,10.0,V,8.0,V,10.0,V,12.0,V,7.903225806451613
103,28,79,8,9,28079008_9_47,2021,6,14.0,V,9.0,V,9.0,V,7.0,V,13.0,V,13.0,V,10.0,V,9.0,V,8.0,N,11.0,V,11.0,V,7.0,V,8.0,V,9.0,V,9.0,V,12.0,V,13.0,V,9.0,V,3.0,V,4.0,V,4.0,V,5.0,V,4.0,V,6.0,V,8.0,V,11.0,V,6.0,V,4.0,V,5.0,V,8.0,V,0.0,N,8.466666666666667
104,28,79,8,9,28079008_9_47,2021,7,10.0,V,9.0,V,6.0,V,7.0,V,5.0,V,8.0,V,7.0,V,4.0,V,9.0,V,11.0,V,17.0,V,7.0,V,5.0,V,5.0,V,5.0,V,10.0,V,9.0,V,8.0,V,7.0,V,11.0,V,15.0,V,14.0,V,14.0,V,7.0,V,6.0,V,10.0,V,16.0,V,7.0,V,21.0,V,6.0,V,5.0,V,9.258064516129032
105,28,79,8,9,28079008_9_47,2021,8,5.0,V,5.0,V,10.0,V,9.0,V,8.0,V,6.0,V,6.0,V,6.0,V,20.0,V,31.0,V,28.0,V,15.0,V,15.0,N,0.0,N,0.0,N,0.0,N,5.0,N,11.0,V,11.0,V,12.0,V,7.0,V,9.0,V,10.0,V,12.0,V,20.0,V,20.0,V,7.0,V,5.0,V,4.0,V,8.0,V,15.0,V,11.678571428571429
106,28,79,8,9,28079008_9_47,2021,9,37.0,V,27.0,V,15.0,V,6.0,V,15.0,V,13.0,V,7.0,V,12.0,V,11.0,V,5.0,V,3.0,V,8.0,V,21.0,V,35.0,V,21.0,V,13.0,V,10.0,V,10.0,N,1.0,N,5.0,V,3.0,V,4.0,V,6.0,V,36.0,V,20.0,V,3.0,V,4.0,V,5.0,V,5.0,V,9.0,V,0.0,N,12.6
107,28,79,8,9,28079008_9_47,2021,10,9.0,V,12.0,V,10.0,V,4.0,V,5.0,V,6.0,V,7.0,V,9.0,V,4.0,V,7.0,V,7.0,V,8.0,V,5.0,V,7.0,V,12.0,V,10.0,V,13.0,V,13.0,V,13.0,V,9.0,V,6.0,V,3.0,V,4.0,V,7.0,V,9.0,V,8.0,V,12.0,V,10.0,V,13.0,V,31.0,N,39.0,N,10.35483870967742
108,28,79,8,9,28079008_9_47,2021,11,9.0,N,5.0,N,4.0,V,7.0,V,4.0,V,6.0,V,12.0,V,9.0,V,10.0,V,9.0,V,19.0,V,10.0,V,12.0,V,10.0,V,3.0,V,7.0,V,5.0,V,7.0,V,6.0,V,5.0,V,8.0,V,7.0,V,5.0,V,7.0,V,6.0,V,8.0,V,4.0,V,3.0,V,4.0,V,9.0,V,0.0,N,7.666666666666667
109,28,79,8,9,28079008_9_47,2021,12,13.0,V,5.0,V,5.0,V,5.0,V,2.0,V,3.0,V,7.0,V,3.0,V,3.0,V,5.0,V,6.0,V,9.0,V,9.0,V,9.0,V,8.0,V,11.0,V,10.0,V,11.0,V,7.0,V,12.0,V,18.0,V,13.0,V,10.0,V,7.0,V,3.0,V,5.0,V,3.0,V,3.0,V,10.0,V,10.0,V,12.0,V,8.0
489,28,79,24,9,28079024_9_47,2021,1,3.0,V,3.0,V,6.0,V,5.0,V,12.0,V,12.0,V,7.0,V,6.0,V,3.0,N,6.0,N,14.0,V,26.0,V,37.0,V,48.0,V,40.0,V,54.0,V,46.0,V,29.0,V,25.0,V,24.0,V,3.0,V,3.0,V,3.0,V,4.0,V,2.0,V,4.0,V,5.0,V,6.0,V,7.0,V,4.0,V,3.0,V,14.903225806451612
490,28,79,24,9,28079024_9_47,2021,2,4.0,V,3.0,V,5.0,V,9.0,V,14.0,V,7.0,V,3.0,V,3.0,V,3.0,N,0.0,N,5.0,N,4.0,V,6.0,V,11.0,V,11.0,V,14.0,V,15.0,V,26.0,V,24.0,V,21.0,V,23.0,V,3.0,V,8.0,V,15.0,V,18.0,V,17.0,V,17.0,V,16.0,V,0.0,N,0.0,N,0.0,N,11.777777777777779
491,28,79,24,9,28079024_9_47,2021,3,16.0,V,18.0,V,28.0,V,30.0,V,28.0,V,20.0,V,16.0,V,12.0,V,10.0,V,13.0,V,11.0,V,5.0,V,8.0,V,5.0,V,5.0,V,6.0,V,3.0,V,5.0,V,3.0,V,3.0,V,7.0,V,11.0,V,10.0,V,14.0,V,13.0,V,13.0,V,16.0,V,14.0,V,8.0,V,11.0,V,11.0,V,12.483870967741936
492,28,79,24,9,28079024_9_47,2021,4,12.0,V,6.0,V,12.0,V,12.0,V,11.0,V,8.0,V,6.0,V,9.0,V,10.0,V,13.0,V,4.0,V,5.0,V,10.0,V,10.0,V,11.0,V,9.0,V,7.0,V,9.0,V,11.0,V,9.0,V,6.0,V,5.0,V,6.0,V,8.0,V,7.0,V,9.0,V,9.0,V,5.0,V,6.0,V,6.0,V,0.0,N,8.866666666666667
